customer_id,age,gender,city_population,household_size,annual_income,education_level,employment_status,tenure_months,main_account_type,number_of_accounts,num_standard_accounts,num_savings_accounts,num_student_accounts,num_business_accounts,number_of_debit_cards,number_of_credit_cards,total_loan_amount,number_of_loans,current_balance,days_from_last_transaction,avg_monthly_balance_3m,avg_monthly_balance_12m,avg_monthly_spend_3m,avg_monthly_spend_12m,transaction_count_3m,transaction_count_12m,transaction_volume_3m,transaction_volume_12m,declined_transactions_3m,declined_transactions_12m,credit_limit,revolving_balance,credit_utilization_ratio,loan_payments_3m,loan_payments_12m,complaints_3m,complaints_12m,support_contacts_3m,support_contacts_12m,last_support_contact_days,received_satisfaction_survey,filled_satisfaction_survey,nps_segment,days_from_last_login,days_from_last_web_login,days_from_last_app_login,mobile_app_logins_3m,mobile_app_logins_12m,online_banking_logins_3m,online_banking_logins_12m,avg_time_spent_per_login_minutes_3m,avg_time_spent_per_login_minutes_12m,push_clicks_3m,push_clicks_12m,marketing_emails_opened_3m,marketing_emails_opened_12m,churn
8613df8261234a8ead3867dce629cf1a,47,female,1078885,2,32216.27500073702,doctorate,other,71,standard,2,1,0,1,0,0,1,9092.512656106659,2,1278.5362721245226,5,3099.24548748014,4124.211639550543,1244.7899771184125,1633.6727524505004,1,43,3360.9711349650534,13948.022240784496,1,2,3113.1443675593227,260.77851897005894,0.15605441646710796,706.0266034780977,3717.6124879447634,0,3,0,1,290,False,False,promoter,115,103,107,0,84,5,17,6.158222881762551,7.271178576842475,6,3,5,10,False
ffed96424dea4671aaef0f0a96412627,35,female,1727578,4,47601.06620958014,unknown,employed,49,student,1,0,0,1,0,2,2,5805.439562991354,2,2390.039541238137,8,3204.0040697153136,2641.9286436365555,1522.3077020198175,1319.576634888218,12,77,3938.615900865876,9584.128601283333,1,1,1752.8879378700803,693.4526470486918,0.2711416332014369,774.7967781057943,1173.8570857742814,0,3,2,5,113,False,True,passive,80,36,85,2,119,13,27,5.996275020080686,6.762400044302363,2,7,4,42,False
b40cc89b073146249825fa849cf9ca1e,68,male,2648164,4,24911.58641950705,primary_education,unemployed,56,business,2,0,1,0,1,1,0,3639.847572022886,1,793.9584617862904,113,3252.8671442367904,1965.1689089962395,1048.1658655273782,682.5419495199257,15,47,2163.841133044573,23585.144549356763,0,4,3484.863442640559,283.7161635668755,0.23187320010871557,618.4553097727281,3993.9148521347097,0,2,1,4,273,False,False,passive,52,115,95,26,29,5,38,3.2126872528981494,8.15901573519649,3,2,4,19,False
85248edc44dc4956acd3217c17dff295,18,male,1847075,2,30652.812900003537,secondary_education,student,110,business,2,0,0,1,1,0,2,3916.84310781726,2,2088.7787340722725,39,4006.5325191940797,440.2833183661669,647.1497795850385,568.9580550176004,15,64,3726.426238984016,9987.095574259605,1,5,3155.5875996801497,794.8997366855787,0.2767219740202533,381.6672005578219,2680.0143693096147,1,1,3,8,156,False,False,passive,118,103,38,9,8,13,82,3.512498582991417,10.870348829408162,3,1,2,30,False
259254a46ceb4c50a97238a5e1cd85d8,96,female,1204885,5,25493.098136676934,unknown,retired,4,student,2,2,0,1,1,2,2,4217.879920660547,2,313.04644928844345,1,3200.2477356308505,2925.9498375002386,733.7375465371206,602.8316023859866,12,6,3231.579037401559,14821.918665057994,1,2,402.1090690491442,32.02868977014879,0.07540839498725536,795.5573054702434,813.6123309611862,1,2,4,4,151,False,False,promoter,117,114,7,17,32,8,42,6.12948384324303,4.565268631233596,7,7,8,36,False
424ed8ab057a486a886bb47fda237388,74,male,1751943,4,35443.01595378172,secondary_education,self-employed,64,savings,2,0,1,0,1,1,1,784.9650286458991,2,220.2351691080171,3,1498.9641803289542,3363.056074934173,1569.4412154876313,1053.757167249817,16,77,4770.522110934584,4535.410827868825,2,3,2942.2927852508205,1007.6250695803446,0.09739059522891831,618.6124483687522,1354.7833650043567,0,1,0,7,84,False,False,promoter,8,79,13,23,99,15,28,4.563679283680749,4.268518154634545,1,4,0,26,False
496fd51f01bf4d37830b5fc504f75c97,37,male,1668901,2,27789.942689969157,secondary_education,student,112,student,2,1,0,0,0,0,0,7821.238505540336,1,1781.1101632902455,36,3526.2885677896943,834.6177023572443,632.5297351667602,1519.7726361874707,19,4,4031.2856830446754,17048.387790406377,2,3,3111.1324491403216,130.67496635955638,0.2367527542848111,58.09937517318076,2935.689390028747,0,0,1,6,344,False,False,passive,91,48,14,7,89,0,79,6.457511752418577,4.74649788834293,9,9,2,48,False
5f95501c22d14d36ad4a5ef7076cb141,58,male,874945,5,22396.300956431704,bachelor,retired,111,business,1,2,1,1,0,1,0,6570.999064790586,1,2408.8846987913194,72,997.7981369675516,730.0976644721813,518.5988096439594,623.6123927976956,6,37,4718.59783349991,11460.61486964899,1,1,4714.023132334872,1165.9124299731288,0.14663571595614475,897.1855664957686,2184.4573255914943,0,1,3,8,83,False,False,passive,40,119,4,6,39,15,59,5.792531437127821,4.598228849428141,9,17,7,11,False
58e564abafb5451f98711bfe7f63f711,83,female,1100610,3,46734.54290382378,doctorate,self-employed,55,business,2,1,1,1,1,2,2,5136.792246799315,2,3372.6478635257854,109,863.135600859596,1182.1376184276646,1685.2137664679883,583.1169874237843,6,79,3318.838449151987,24914.867251252355,1,1,2920.624390768067,66.89119069543432,0.3155411958490591,547.9568856691637,1731.2962272763384,1,3,1,4,54,False,False,passive,50,83,35,9,98,9,19,1.0903104873552945,2.1478867375998076,8,15,8,6,True
b5cc9ecbc23446078b7235c69f2ecf5e,92,male,1197278,3,10483.559678004203,bachelor,student,52,standard,2,0,1,1,1,0,2,7620.459013421866,0,1498.4563440065735,19,5500.333939851391,2558.1002589203263,616.6025255610982,1486.4580733152943,11,52,3219.75244982821,13457.296972375056,2,3,3401.781698425269,650.3351937171487,0.191011854302289,39.246907146884496,1948.2059765067943,0,1,3,2,83,False,False,passive,92,23,82,24,118,0,58,5.686770915106329,1.556415871901371,8,11,7,18,True
0e6508a557f749a9be9a8814b9dcbea5,49,female,2076341,2,35389.573406237796,bachelor,other,8,savings,1,0,0,1,0,2,0,8169.027942587631,0,3571.503199909732,14,4373.437413805044,3458.935874945888,734.5465575714436,593.2373589260708,1,14,3492.8158182586094,13503.219808008429,1,0,4054.733665655256,1109.164656566652,0.03382031971532079,670.5385110610421,3902.870705328878,0,2,1,5,299,False,False,promoter,99,60,73,28,111,19,76,8.085756986274841,7.564472711275033,1,7,2,13,False
9a1015d446484d0faf3be15360ef6e93,82,male,1235506,5,24528.653419374772,secondary_education,student,9,standard,1,1,0,0,1,1,1,8203.822570627919,0,2435.622991392178,50,2698.246908874069,2532.8110624369683,1406.519735944388,1061.7194357687563,10,73,6.63840343607626,11187.367748439632,2,4,3194.047862341359,591.3667626359074,0.29295967274978557,336.1351007654938,2965.6975316898342,0,1,4,6,279,False,False,detractor,68,55,28,27,56,4,77,6.001197663134435,8.020875426709727,8,6,9,30,False
92eeecfa9f774a008ef19d407d1949ed,56,female,2912815,1,42855.91771348406,bachelor,self-employed,30,student,3,0,0,0,1,1,2,5660.164850544129,1,1978.3506943891766,78,2069.319369621931,2210.3239100720025,889.5331700787655,1484.0652215214197,19,52,2587.40159878808,9170.3367433501,1,3,3639.94126530893,455.23234822480947,0.005698781319303237,130.205469629922,1829.991219687696,0,0,2,4,137,False,False,detractor,58,81,90,21,23,12,88,3.661183296906857,3.309841457683166,5,10,1,8,False
4f857a3057134876bd7925ea7e2c96ac,59,female,1204087,2,47450.192528651125,secondary_education,unemployed,11,standard,2,0,1,1,1,0,1,824.3973830972973,2,845.7526692245738,103,1144.3096972348308,2708.9317706426523,572.056861429198,554.4582343515043,16,36,5184.695640739505,13393.49267484247,0,1,2869.5826550693314,451.2790134305242,0.10388749992918254,328.34961511281153,1147.1050245269153,0,2,4,5,22,False,False,passive,26,105,114,17,22,4,25,6.29253446053326,3.068753606896161,2,14,3,8,False
19dad3424795482caccfb8403d39d371,82,male,1443710,1,37963.55868226248,doctorate,retired,50,standard,3,0,0,1,1,2,2,6042.225462089252,1,3516.468755072183,52,1489.9790346326308,2820.823088975479,637.033262323014,1203.0556216723203,5,42,6298.867860099239,5708.443168055282,2,0,351.3748979984439,586.1061869119989,0.3202462520999009,703.7927876976804,1459.1912127729602,0,0,1,7,66,False,True,promoter,91,46,8,7,54,17,6,3.398275185463062,0.2113460867963708,5,16,4,0,False
452fd1bca9ab468fb3e8f569fe428f06,99,male,2861853,5,37174.41893169233,bachelor,retired,8,standard,2,2,1,0,0,0,2,6851.324451686673,0,1586.5263887883252,39,1119.6916817970305,2306.184452594678,866.9102540487344,1047.9381981249967,10,47,2891.526174252341,14730.43339499666,2,2,3779.4038680128465,664.369637069002,0.19918858113455565,186.57288854823656,3621.154346082004,0,2,1,7,0,False,False,passive,79,67,12,10,63,11,18,6.186561552035229,5.882611138799808,7,7,9,13,False
95217b3347794667821b9cac204a0772,26,male,2527845,3,25370.08823044289,master,unemployed,16,standard,3,0,0,0,0,2,2,7577.207455474328,2,1688.5015950221377,10,3357.7021501827385,885.8716284344057,979.5861122138438,1672.8902925838584,19,27,3563.9630530795894,9716.44615838033,0,3,6264.876879814325,519.7685324115644,0.2962974807182195,223.72272362578065,3472.607696312856,0,3,1,5,10,True,False,passive,1,56,36,20,62,12,45,2.932376744025395,3.598568215143637,6,2,3,17,False
72d991c6f5f84566b5fe97b68bf0e4f2,67,male,2067546,4,28772.23923534136,master,unemployed,59,business,3,1,1,1,1,1,0,284.78094912730194,2,1171.099468133307,54,3740.6970177019557,2420.180150546462,2179.0959064526405,1062.7776536763142,6,71,1898.537464781711,4536.591509050848,2,2,7322.437011992797,725.8375731035945,0.247199885586259,768.6003577374705,5949.096584309362,1,2,3,0,363,False,True,detractor,67,60,18,4,73,13,76,6.544224573039777,6.475957222441032,4,9,6,7,False
